Zalcalの命令列,オリジナル,不明,ppl
bipush lload l2i invokevirtual aload,,1,30138.4
bipush lshr l2i aload invokevirtual,,1,17857.2
bipush lshr l2i ifIcmple aload,,1,91358.9
bipush lshr l2i invokevirtual aload,,1,10193.3
bipush lshr l2i invokevirtual i2l,,1,11351
bipush lshr l2i lload l2i,,1,8629.67
checkcast astore aload invokevirtual astore,1,1,6397.89
checkcast invokevirtual astore aload newInsn,1,1,5141.62
checkcast invokevirtual astore iconst0 i2l,,1,122921
checkcast putfield aload newInsn dup,1,1,6612.91
d2i bipush irem ireturn ldc,1,1,30838.5
d2i iconst3 irem ireturn ldc,1,1,26360.2
d2i ireturn ldc dload dsub,1,1,25254.9
d2l lconst1 ladd lreturn ldc,1,1,24667.3
d2l lreturn ldc dload ldc,1,1,160171
dadd invokestatic d2i iconst3 irem,1,1,21290.7
dadd invokestatic d2l ldc lrem,1,1,6621.92
dadd invokestatic d2l lreturn ldc,1,1,37378.3
dadd invokestatic ldc drem d2l,1,1,12602.9
dadd ldc ddiv dstore dload,1,1,15019
dconst1 putfield aload iconst0 putfield,1,1,15322.1
dconst1 putfield aload ldc putfield,1,1,6912.83
ddiv dadd invokestatic d2l lreturn,1,1,30986.5
ddiv dstore dload ldc ddiv,1,1,5835.39
ddiv dstore ldc dload dmul,1,1,11119.9
ddiv dstore ldc dstore iload,1,1,25234.3
ddiv dsub invokestatic d2l lreturn,1,1,21412.9
ddiv ldc dadd ldc ddiv,1,1,9712.72
ddiv ldc drem dstore iload,1,1,29122.6
dload dmul dstore dload ldc,1,1,16488.2
dload invokestatic d2i bipush irem,1,1,24894.2
dload invokestatic d2i ireturn ldc,1,1,40886.7
dload ldc dadd invokestatic d2i,1,1,23575.1
dload ldc dadd invokestatic d2l,1,1,4408.92
dload ldc dadd invokestatic ldc,1,1,36690.3
dload ldc ddiv dadd invokestatic,1,1,28682.4
dload ldc ddiv dsub invokestatic,1,1,13206.8
dload ldc ddiv ldc dadd,1,1,7849.56
dload ldc ddiv ldc drem,1,1,8500.51
dmul dstore dload ldc drem,1,1,8531.7
dstore dload ldc ddiv dstore,1,1,4399.24
dstore iload ifne ldc dload,1,1,53371.1
